Name,GameNum,opp_Name,opp_GameNum,at-bats,hits,doubles,triples,Homeruns,RBI,SacrificeHits,hit-by-pitch,walks,intentionalWalks,strikeouts,StolenBases,CaughtStealing,GroundedIntoDoublePlays,AwardedFirstOnCatcherInterference,LeftOnBase,PitchersUsed,IndividualEarnedRuns,TeamEarnedRuns,WildPitches,Balks,putouts,assists,errors,PassedBalls,doublePlays,TriplePlays,opp_at-bats,opp_hits,opp_doubles,opp_triples,opp_Homeruns,opp_RBI,opp_SacrificeHits,opp_hit-by-pitch,opp_walks,opp_intentionalWalks,opp_strikeouts,opp_StolenBases,opp_CaughtStealing,opp_GroundedIntoDoublePlays,opp_AwardedFirstOnCatcherInterference,opp_LeftOnBase,opp_PitchersUsed,opp_IndividualEarnedRuns,opp_TeamEarnedRuns,opp_WildPitches,opp_Balks,opp_putouts,opp_assists,opp_errors,opp_PassedBalls,opp_doublePlays,opp_TriplePlays
BRO,1.0,NY1,1.0,33.0,8.0,2.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,9.0,2.0,4.0,4.0,0.0,0.0,24.0,12.0,2.0,0.0,0.0,0.0,30.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,3.0,0.0,0.0,27.0,11.0,1.0,0.0,1.0,0.0
BRO,2.0,NY1,2.0,36.0,12.0,2.0,1.0,2.0,5.0,1.0,0.0,7.0,1.0,4.0,1.0,0.0,0.0,0.0,12.0,1.0,4.0,4.0,0.0,0.0,27.0,15.0,0.0,0.0,0.0,0.0,33.0,6.0,1.0,1.0,1.0,4.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,6.0,0.0,1.0,27.0,11.0,0.0,0.0,1.0,0.0
BRO,3.0,PIT,3.0,31.0,10.0,1.0,0.0,3.0,7.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,27.0,9.0,1.0,0.0,1.0,0.0,32.0,5.0,1.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,6.0,3.0,7.0,7.0,0.0,0.0,24.0,11.0,0.0,0.0,1.0,0.0
BRO,4.0,NY1,4.0,35.0,8.0,2.0,0.0,2.0,3.0,0.0,1.0,4.0,0.0,7.0,0.0,0.0,1.0,0.0,10.0,4.0,6.0,6.0,0.0,0.0,27.0,17.0,0.0,0.0,1.0,0.0,34.0,9.0,1.0,0.0,2.0,6.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,1.0,3.0,3.0,0.0,0.0,27.0,9.0,1.0,0.0,1.0,0.0
BRO,5.0,PHI,6.0,42.0,18.0,2.0,1.0,2.0,9.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,12.0,2.0,6.0,6.0,0.0,0.0,27.0,6.0,2.0,0.0,1.0,0.0,38.0,12.0,3.0,0.0,1.0,7.0,1.0,0.0,5.0,1.0,8.0,0.0,0.0,1.0,0.0,11.0,4.0,8.0,8.0,0.0,0.0,27.0,10.0,2.0,0.0,1.0,0.0
BRO,6.0,PHI,7.0,33.0,8.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,3.0,6.0,6.0,0.0,0.0,24.0,9.0,1.0,1.0,0.0,0.0,31.0,8.0,1.0,1.0,1.0,6.0,0.0,0.0,5.0,1.0,9.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,3.0,0.0,0.0,27.0,11.0,0.0,0.0,1.0,0.0
BRO,7.0,PHI,8.0,31.0,9.0,2.0,0.0,0.0,3.0,1.0,0.0,10.0,0.0,3.0,0.0,1.0,1.0,0.0,12.0,2.0,3.0,3.0,2.0,0.0,27.0,9.0,0.0,0.0,3.0,0.0,34.0,10.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,3.0,0.0,6.0,4.0,4.0,4.0,0.0,0.0,24.0,10.0,4.0,0.0,2.0,0.0
BRO,8.0,PIT,10.0,43.0,10.0,2.0,0.0,1.0,5.0,3.0,0.0,13.0,2.0,6.0,5.0,0.0,2.0,0.0,15.0,6.0,5.0,5.0,0.0,0.0,39.0,15.0,0.0,0.0,0.0,0.0,48.0,10.0,3.0,0.0,0.0,5.0,0.0,0.0,7.0,2.0,6.0,0.0,0.0,0.0,0.0,12.0,4.0,4.0,4.0,0.0,0.0,39.0,22.0,2.0,0.0,2.0,0.0
BRO,9.0,PIT,11.0,30.0,8.0,2.0,0.0,0.0,3.0,1.0,0.0,8.0,0.0,7.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,27.0,12.0,0.0,0.0,1.0,0.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,5.0,3.0,3.0,3.0,0.0,0.0,27.0,13.0,1.0,0.0,2.0,0.0
BRO,10.0,PIT,12.0,36.0,12.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,10.0,5.0,9.0,9.0,1.0,0.0,24.0,10.0,0.0,0.0,0.0,0.0,32.0,10.0,3.0,0.0,1.0,9.0,2.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,3.0,0.0,0.0,27.0,9.0,0.0,0.0,2.0,0.0
